id,referencni_cislo,ico,nazev,adresa,datum_zverejneni,datum_uzavreni,datum_uvolneni_zakazu,stav_uzavreni,druh,zjistene_skutecnosti,stazeno
41021,P21-000067-SZPI-CZ,65532937,THI HUONG LU,"1. máje 742, 357 09 Habartov",2021-09-17,2021-09-16,2021-09-29,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Poškození podlah,2022-01-03
41020,P21-000066-SZPI-CZ,25499327,NENIVE s.r.o.,"Šafaříkova 277, 293 01 Mladá Boleslav",2021-09-16,2021-09-15,2021-09-17,Znovu otevřeno,Velkoobchod,"Výskyt trusu hlodavců|Potraviny poškozené nebo kontaminované škůdci|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plesnivých potravin nebo surovin|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Poškození podlah|Zápach na provozovně",2022-01-03
41019,P21-000065-SZPI-CZ,45349088,"T.G., a.s.","Doubrava 109, 352 01 Aš",2021-09-15,2021-09-14,2021-09-16,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Poškození stěn|Riziko kontaminace potravin z důvodu nevyhovujících prostor,2022-01-03
41018,P21-000064-SZPI-CZ,26009048,Obchod u Baudisů s.r.o.,"Náměstí míru 134, 507 43 Sobotka",2021-09-10,2021-09-09,2021-09-10,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Nečistoty na regálech či zařízeních,2022-01-03
41017,P21-000063-SZPI-CZ,42819725,EVA ŠIMÁČKOVÁ,"Nebanice 10, 350 02 Nebanice",2021-09-10,2021-09-09,2021-09-13,Znovu otevřeno,Restaurace,"Výskyt trusu hlodavců|Výskyt hmyzích škůdců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Riziko kontaminace potravin z důvodu nevyhovujících prostor",2022-01-03
41016,P21-000062-SZPI-CZ,05509173,Březí vlk s.r.o.,"Plzeňská 8, 353 01 Velká Hleďsebe",2021-09-09,2021-09-08,2021-09-10,Znovu otevřeno,Restaurace,Výskyt trusu hlodavců|Výskyt hmyzích škůdců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní v chladicích zařízeních|Nečistoty na podlaze|Poškození stropu,2022-01-03
41015,P21-000061-SZPI-CZ,00032166,"JEDNOTA, spotřební družstvo v Pardubicích","Němčice 245, 533 52 Němčice",2021-09-09,2021-09-08,2021-09-13,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců,2022-01-03
41014,P21-000060-SZPI-CZ,05353475,Altantuya Bayaraa,"Nádražní 818, 51721 Týniště nad Orlicí",2021-09-07,2021-09-03,2021-09-15,Znovu otevřeno,Maloobchod,Nezajištěn přístup teplé vody pro očistu rukou,2022-01-03
41013,P21-000059-SZPI-CZ,02755106,MATĚJ BERÁNEK,"Dolní náměstí 22, 396 01 Humpolec",2021-09-07,2021-09-06,2021-09-09,Znovu otevřeno,Rychlé občerstvení,"Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození podlah|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin",2022-01-03
41012,P21-000058-SZPI-CZ,03392341,Astur & Qanto s.r.o.,"Bratří Čapků 61, 534 01 Holice",2021-09-01,2021-08-31,2021-09-01,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Nečistoty na podlaze|Nečistoty na regálech či zařízeních,2022-01-03
